Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Symbol,Company
2024-04-23 00:00:00+05:30,1443.0,1446.8499755859375,1433.0,1442.4000244140625,1357.997802734375,4856174,0.0,0.0,INFY.NS,Infosys
2024-04-24 00:00:00+05:30,1444.300048828125,1444.300048828125,1427.050048828125,1430.75,1347.029541015625,4268213,0.0,0.0,INFY.NS,Infosys
2024-04-25 00:00:00+05:30,1420.0,1444.9000244140625,1420.0,1438.449951171875,1354.2786865234375,9089398,0.0,0.0,INFY.NS,Infosys
2024-04-26 00:00:00+05:30,1439.699951171875,1445.4000244140625,1427.0,1430.25,1346.55859375,8062444,0.0,0.0,INFY.NS,Infosys
2024-04-29 00:00:00+05:30,1429.949951171875,1439.800048828125,1428.25,1434.75,1350.79541015625,5055957,0.0,0.0,INFY.NS,Infosys
2024-04-30 00:00:00+05:30,1434.699951171875,1436.550048828125,1417.550048828125,1420.550048828125,1337.42626953125,6936588,0.0,0.0,INFY.NS,Infosys
2024-05-02 00:00:00+05:30,1413.0,1424.0,1411.8499755859375,1414.449951171875,1331.6832275390625,10076354,0.0,0.0,INFY.NS,Infosys
2024-05-03 00:00:00+05:30,1422.0999755859375,1424.800048828125,1403.199951171875,1416.300048828125,1333.425048828125,8842345,0.0,0.0,INFY.NS,Infosys
2024-05-06 00:00:00+05:30,1420.0,1445.699951171875,1417.0999755859375,1425.9000244140625,1342.46337890625,6445422,0.0,0.0,INFY.NS,Infosys
2024-05-07 00:00:00+05:30,1424.949951171875,1443.3499755859375,1415.5999755859375,1440.949951171875,1356.632568359375,6080661,0.0,0.0,INFY.NS,Infosys
2024-05-08 00:00:00+05:30,1435.25,1439.75,1425.5999755859375,1427.300048828125,1343.7813720703125,6234983,0.0,0.0,INFY.NS,Infosys
2024-05-09 00:00:00+05:30,1427.550048828125,1449.949951171875,1424.8499755859375,1439.550048828125,1355.314453125,6088406,0.0,0.0,INFY.NS,Infosys
2024-05-10 00:00:00+05:30,1435.050048828125,1435.949951171875,1413.0,1424.9000244140625,1341.521728515625,8777481,0.0,0.0,INFY.NS,Infosys
2024-05-13 00:00:00+05:30,1425.0,1425.0,1411.199951171875,1423.449951171875,1340.1566162109375,3735954,0.0,0.0,INFY.NS,Infosys
2024-05-14 00:00:00+05:30,1426.4000244140625,1433.75,1418.050048828125,1424.699951171875,1341.3333740234375,3463230,0.0,0.0,INFY.NS,Infosys
2024-05-15 00:00:00+05:30,1426.0,1431.800048828125,1418.550048828125,1419.949951171875,1336.861328125,4327544,0.0,0.0,INFY.NS,Infosys
2024-05-16 00:00:00+05:30,1433.949951171875,1455.75,1427.0,1453.3499755859375,1368.3070068359375,9249145,0.0,0.0,INFY.NS,Infosys
2024-05-17 00:00:00+05:30,1457.0,1457.0,1439.25,1444.300048828125,1359.7864990234375,7542860,0.0,0.0,INFY.NS,Infosys
2024-05-21 00:00:00+05:30,1430.0,1444.699951171875,1428.4000244140625,1434.1500244140625,1350.2305908203125,6752663,0.0,0.0,INFY.NS,Infosys
2024-05-22 00:00:00+05:30,1428.75,1459.949951171875,1428.0,1454.800048828125,1369.6722412109375,7173285,0.0,0.0,INFY.NS,Infosys
2024-05-23 00:00:00+05:30,1454.699951171875,1478.1500244140625,1450.0,1472.4000244140625,1386.2421875,8641428,0.0,0.0,INFY.NS,Infosys
2024-05-24 00:00:00+05:30,1468.25,1475.5,1460.0,1465.0999755859375,1379.369384765625,5277938,0.0,0.0,INFY.NS,Infosys
2024-05-27 00:00:00+05:30,1471.8499755859375,1479.5999755859375,1460.25,1471.3499755859375,1385.253662109375,5821844,0.0,0.0,INFY.NS,Infosys
2024-05-28 00:00:00+05:30,1475.5,1476.0,1460.300048828125,1467.050048828125,1381.2054443359375,6186922,0.0,0.0,INFY.NS,Infosys
2024-05-29 00:00:00+05:30,1465.4000244140625,1465.5,1450.0,1450.949951171875,1366.0474853515625,7401634,0.0,0.0,INFY.NS,Infosys
2024-05-30 00:00:00+05:30,1442.800048828125,1449.8499755859375,1421.550048828125,1427.449951171875,1343.922607421875,9663150,0.0,0.0,INFY.NS,Infosys
2024-05-31 00:00:00+05:30,1409.800048828125,1436.75,1400.0,1406.9000244140625,1351.076904296875,37113815,28.0,0.0,INFY.NS,Infosys
2024-06-03 00:00:00+05:30,1440.0,1440.0,1404.0,1405.9000244140625,1350.11669921875,10589244,0.0,0.0,INFY.NS,Infosys
2024-06-04 00:00:00+05:30,1409.0,1415.0,1358.3499755859375,1393.6500244140625,1338.3526611328125,13736134,0.0,0.0,INFY.NS,Infosys
2024-06-05 00:00:00+05:30,1400.1500244140625,1438.0,1400.1500244140625,1430.0999755859375,1373.3563232421875,9233424,0.0,0.0,INFY.NS,Infosys
2024-06-06 00:00:00+05:30,1444.949951171875,1474.300048828125,1437.5,1472.25,1413.8341064453125,12660930,0.0,0.0,INFY.NS,Infosys
2024-06-07 00:00:00+05:30,1481.0,1539.699951171875,1477.25,1533.5999755859375,1472.7496337890625,24075302,0.0,0.0,INFY.NS,Infosys
2024-06-10 00:00:00+05:30,1525.300048828125,1529.800048828125,1497.300048828125,1499.75,1440.242919921875,6810606,0.0,0.0,INFY.NS,Infosys
2024-06-11 00:00:00+05:30,1500.050048828125,1506.449951171875,1493.949951171875,1495.75,1436.4014892578125,4853054,0.0,0.0,INFY.NS,Infosys
2024-06-12 00:00:00+05:30,1507.0,1508.75,1482.75,1485.199951171875,1426.2701416015625,9564320,0.0,0.0,INFY.NS,Infosys
2024-06-13 00:00:00+05:30,1495.0,1505.0,1489.3499755859375,1493.949951171875,1434.6729736328125,7307565,0.0,0.0,INFY.NS,Infosys
2024-06-14 00:00:00+05:30,1503.699951171875,1503.699951171875,1486.050048828125,1488.9000244140625,1429.8233642578125,4237727,0.0,0.0,INFY.NS,Infosys
2024-06-18 00:00:00+05:30,1497.0,1507.0,1495.4000244140625,1498.199951171875,1438.7542724609375,5420939,0.0,0.0,INFY.NS,Infosys
2024-06-19 00:00:00+05:30,1505.0,1515.6500244140625,1496.699951171875,1511.3499755859375,1451.382568359375,5493456,0.0,0.0,INFY.NS,Infosys
2024-06-20 00:00:00+05:30,1516.300048828125,1517.5,1499.0999755859375,1515.4000244140625,1455.2718505859375,7927010,0.0,0.0,INFY.NS,Infosys
2024-06-21 00:00:00+05:30,1545.0,1557.75,1523.699951171875,1532.699951171875,1471.885498046875,17301941,0.0,0.0,INFY.NS,Infosys
2024-06-24 00:00:00+05:30,1524.550048828125,1529.0999755859375,1515.4000244140625,1527.1500244140625,1466.5556640625,5564989,0.0,0.0,INFY.NS,Infosys
2024-06-25 00:00:00+05:30,1526.0,1543.9000244140625,1520.3499755859375,1541.949951171875,1480.7684326171875,4551525,0.0,0.0,INFY.NS,Infosys
2024-06-26 00:00:00+05:30,1541.0,1548.8499755859375,1535.0,1540.699951171875,1479.56787109375,4851004,0.0,0.0,INFY.NS,Infosys
2024-06-27 00:00:00+05:30,1538.449951171875,1578.4000244140625,1532.050048828125,1573.3499755859375,1510.9224853515625,14757754,0.0,0.0,INFY.NS,Infosys
2024-06-28 00:00:00+05:30,1572.550048828125,1588.5,1564.25,1566.75,1504.5843505859375,8197544,0.0,0.0,INFY.NS,Infosys
2024-07-01 00:00:00+05:30,1559.5,1599.9000244140625,1559.5,1590.800048828125,1527.6802978515625,6801771,0.0,0.0,INFY.NS,Infosys
2024-07-02 00:00:00+05:30,1596.199951171875,1633.800048828125,1586.5,1621.050048828125,1556.72998046875,10493173,0.0,0.0,INFY.NS,Infosys
2024-07-03 00:00:00+05:30,1625.0,1636.0,1606.0,1627.4000244140625,1562.8280029296875,7269965,0.0,0.0,INFY.NS,Infosys
2024-07-04 00:00:00+05:30,1628.199951171875,1660.0,1628.0,1650.6500244140625,1585.155517578125,8008311,0.0,0.0,INFY.NS,Infosys
2024-07-05 00:00:00+05:30,1651.449951171875,1665.8499755859375,1633.3499755859375,1647.449951171875,1582.0823974609375,7065022,0.0,0.0,INFY.NS,Infosys
2024-07-08 00:00:00+05:30,1643.0999755859375,1666.0,1640.0,1661.6500244140625,1595.718994140625,5880533,0.0,0.0,INFY.NS,Infosys
2024-07-09 00:00:00+05:30,1659.9000244140625,1666.75,1651.0,1657.1500244140625,1591.3975830078125,5191182,0.0,0.0,INFY.NS,Infosys
2024-07-10 00:00:00+05:30,1657.0,1674.0,1637.550048828125,1648.25,1582.8507080078125,9852770,0.0,0.0,INFY.NS,Infosys
2024-07-11 00:00:00+05:30,1656.0,1665.0,1642.050048828125,1652.699951171875,1587.1240234375,8857679,0.0,0.0,INFY.NS,Infosys
2024-07-12 00:00:00+05:30,1680.0,1719.75,1666.6500244140625,1711.75,1643.8310546875,17078316,0.0,0.0,INFY.NS,Infosys
2024-07-15 00:00:00+05:30,1726.199951171875,1728.0,1702.6500244140625,1707.050048828125,1639.317626953125,6942230,0.0,0.0,INFY.NS,Infosys
2024-07-16 00:00:00+05:30,1718.5999755859375,1737.9000244140625,1700.0,1726.050048828125,1657.5638427734375,6886281,0.0,0.0,INFY.NS,Infosys
2024-07-18 00:00:00+05:30,1719.0,1765.4000244140625,1719.0,1758.050048828125,1688.2940673828125,11248896,0.0,0.0,INFY.NS,Infosys
2024-07-19 00:00:00+05:30,1844.0,1844.0,1786.449951171875,1792.949951171875,1721.8092041015625,29819116,0.0,0.0,INFY.NS,Infosys
2024-07-22 00:00:00+05:30,1800.1500244140625,1823.0,1792.949951171875,1810.8499755859375,1738.9989013671875,8462126,0.0,0.0,INFY.NS,Infosys
2024-07-23 00:00:00+05:30,1810.0,1839.949951171875,1783.25,1836.9000244140625,1764.015380859375,7113056,0.0,0.0,INFY.NS,Infosys
2024-07-24 00:00:00+05:30,1837.5,1842.3499755859375,1819.5999755859375,1833.949951171875,1761.1824951171875,6002845,0.0,0.0,INFY.NS,Infosys
2024-07-25 00:00:00+05:30,1820.0,1830.9000244140625,1812.0,1824.8499755859375,1752.4434814453125,5815599,0.0,0.0,INFY.NS,Infosys
2024-07-26 00:00:00+05:30,1825.3499755859375,1883.0,1825.3499755859375,1878.9000244140625,1804.3489990234375,11369047,0.0,0.0,INFY.NS,Infosys
2024-07-29 00:00:00+05:30,1893.5999755859375,1903.0,1864.0,1871.0999755859375,1796.8583984375,4635931,0.0,0.0,INFY.NS,Infosys
2024-07-30 00:00:00+05:30,1871.0999755859375,1879.949951171875,1860.0,1877.1500244140625,1802.6683349609375,2721265,0.0,0.0,INFY.NS,Infosys
2024-07-31 00:00:00+05:30,1877.0,1885.1500244140625,1865.050048828125,1868.25,1794.1214599609375,5004209,0.0,0.0,INFY.NS,Infosys
2024-08-01 00:00:00+05:30,1856.0999755859375,1867.9000244140625,1845.0999755859375,1852.5999755859375,1779.0924072265625,7475014,0.0,0.0,INFY.NS,Infosys
2024-08-02 00:00:00+05:30,1843.0,1859.5,1816.1500244140625,1821.199951171875,1748.9383544921875,7400938,0.0,0.0,INFY.NS,Infosys
2024-08-05 00:00:00+05:30,1784.949951171875,1797.5,1718.550048828125,1751.9000244140625,1682.38818359375,10736703,0.0,0.0,INFY.NS,Infosys
2024-08-06 00:00:00+05:30,1760.199951171875,1796.949951171875,1744.8499755859375,1751.0999755859375,1681.6197509765625,7690163,0.0,0.0,INFY.NS,Infosys
2024-08-07 00:00:00+05:30,1796.0,1797.9000244140625,1762.0999755859375,1791.6500244140625,1720.5609130859375,5094329,0.0,0.0,INFY.NS,Infosys
2024-08-08 00:00:00+05:30,1779.949951171875,1779.949951171875,1727.0999755859375,1743.1500244140625,1673.9852294921875,6227910,0.0,0.0,INFY.NS,Infosys
2024-08-09 00:00:00+05:30,1771.25,1780.75,1756.0,1770.75,1700.4901123046875,4258524,0.0,0.0,INFY.NS,Infosys
