Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Symbol,Company
2024-04-23 00:00:00+05:30,233.39999389648438,233.39999389648438,230.10000610351562,231.0500030517578,216.58642578125,10322712,0.0,0.0,WIPRO.NS,Wipro
2024-04-24 00:00:00+05:30,231.9499969482422,232.3249969482422,229.3000030517578,229.9499969482422,215.55526733398438,5915168,0.0,0.0,WIPRO.NS,Wipro
2024-04-25 00:00:00+05:30,229.4499969482422,231.27499389648438,227.89999389648438,230.5,216.0708465576172,11805090,0.0,0.0,WIPRO.NS,Wipro
2024-04-26 00:00:00+05:30,230.9499969482422,237.89999389648438,230.8000030517578,232.3000030517578,217.7581787109375,21478294,0.0,0.0,WIPRO.NS,Wipro
2024-04-29 00:00:00+05:30,233.8249969482422,234.0,230.8000030517578,231.47500610351562,216.9848175048828,7249940,0.0,0.0,WIPRO.NS,Wipro
2024-04-30 00:00:00+05:30,231.5,233.375,230.75,231.1999969482422,216.72702026367188,8902956,0.0,0.0,WIPRO.NS,Wipro
2024-05-02 00:00:00+05:30,231.1999969482422,231.5,227.72500610351562,228.6999969482422,214.38352966308594,14937276,0.0,0.0,WIPRO.NS,Wipro
2024-05-03 00:00:00+05:30,230.1999969482422,231.0,226.60000610351562,228.6750030517578,214.36007690429688,9730626,0.0,0.0,WIPRO.NS,Wipro
2024-05-06 00:00:00+05:30,229.39999389648438,231.3000030517578,228.0,229.3249969482422,214.9694061279297,6918126,0.0,0.0,WIPRO.NS,Wipro
2024-05-07 00:00:00+05:30,230.89999389648438,232.6750030517578,227.0,231.9499969482422,217.43006896972656,9278528,0.0,0.0,WIPRO.NS,Wipro
2024-05-08 00:00:00+05:30,232.5,233.1999969482422,230.64999389648438,231.60000610351562,217.10198974609375,8205680,0.0,0.0,WIPRO.NS,Wipro
2024-05-09 00:00:00+05:30,230.875,232.1999969482422,227.02499389648438,227.9499969482422,213.6804656982422,9233484,0.0,0.0,WIPRO.NS,Wipro
2024-05-10 00:00:00+05:30,228.02499389648438,228.75,225.14999389648438,225.9250030517578,211.78224182128906,6654714,0.0,0.0,WIPRO.NS,Wipro
2024-05-13 00:00:00+05:30,225.9250030517578,226.625,222.5,225.97500610351562,211.82911682128906,7111608,0.0,0.0,WIPRO.NS,Wipro
2024-05-14 00:00:00+05:30,226.35000610351562,229.9499969482422,226.10000610351562,228.1750030517578,213.8914031982422,4909420,0.0,0.0,WIPRO.NS,Wipro
2024-05-15 00:00:00+05:30,228.1750030517578,229.875,227.3249969482422,229.14999389648438,214.80535888671875,4793424,0.0,0.0,WIPRO.NS,Wipro
2024-05-16 00:00:00+05:30,231.0,233.75,228.0500030517578,232.22500610351562,217.6878662109375,14621472,0.0,0.0,WIPRO.NS,Wipro
2024-05-17 00:00:00+05:30,232.1999969482422,232.1999969482422,230.02499389648438,230.5,216.0708465576172,6876820,0.0,0.0,WIPRO.NS,Wipro
2024-05-21 00:00:00+05:30,231.5,232.39999389648438,229.85000610351562,230.4499969482422,216.0239715576172,8467448,0.0,0.0,WIPRO.NS,Wipro
2024-05-22 00:00:00+05:30,231.4499969482422,231.72500610351562,229.4250030517578,230.64999389648438,216.21144104003906,7765884,0.0,0.0,WIPRO.NS,Wipro
2024-05-23 00:00:00+05:30,231.25,234.0,230.875,232.89999389648438,218.3206024169922,13171332,0.0,0.0,WIPRO.NS,Wipro
2024-05-24 00:00:00+05:30,233.5,235.25,231.0,231.8249969482422,217.31289672851562,8205526,0.0,0.0,WIPRO.NS,Wipro
2024-05-27 00:00:00+05:30,231.0,231.0749969482422,225.8000030517578,226.22500610351562,212.06346130371094,40983758,0.0,0.0,WIPRO.NS,Wipro
2024-05-28 00:00:00+05:30,227.0,228.625,226.5500030517578,228.02499389648438,213.75076293945312,15778126,0.0,0.0,WIPRO.NS,Wipro
2024-05-29 00:00:00+05:30,227.0,227.75,224.75,225.39999389648438,211.29010009765625,9756036,0.0,0.0,WIPRO.NS,Wipro
